Date,Close
1/4/2021,231.92
1/5/2021,234.91
1/6/2021,226.83
1/7/2021,235.04
1/8/2021,242.46
1/11/2021,237.5
1/12/2021,237.64
1/13/2021,244.9
1/14/2021,242.06
1/15/2021,239.79
1/19/2021,247.25
1/20/2021,244.26
1/21/2021,248.64
1/22/2021,252
1/25/2021,247.75
1/26/2021,241
1/27/2021,229.94
1/28/2021,237.79
1/29/2021,234.31
2/1/2021,241.85
2/2/2021,249.1
2/3/2021,251.9
2/4/2021,270.43
2/5/2021,269.44
2/8/2021,282.17
2/9/2021,284.2
2/10/2021,283.18
2/11/2021,285.03
2/12/2021,298.37
2/16/2021,304.79
2/17/2021,297.2
2/18/2021,290.81
2/19/2021,286.92
2/22/2021,273.85
2/23/2021,265
2/24/2021,266.07
2/25/2021,253.94
2/26/2021,259.85
3/1/2021,273.63
3/2/2021,269.19
3/3/2021,255.06
3/4/2021,239.07
3/5/2021,239.05
3/8/2021,226.09
3/9/2021,241.76
3/10/2021,242.07
3/11/2021,253.83
3/12/2021,250.35
3/15/2021,249.98
3/16/2021,249.31
3/17/2021,251.47
3/18/2021,238.41
3/19/2021,241.28
3/22/2021,244.39
3/23/2021,243.77
3/24/2021,234.27
3/25/2021,234.24
3/26/2021,241.03
3/29/2021,235.67
3/30/2021,236.54
3/31/2021,242.84
4/1/2021,247.54
4/5/2021,251.02
4/6/2021,253.19
4/7/2021,255.6
4/8/2021,264.5
4/9/2021,266.77
4/12/2021,269.03
4/13/2021,275.43
4/14/2021,267.21
4/15/2021,274
4/16/2021,269.87
4/19/2021,267.91
4/20/2021,264.43
4/21/2021,264.89
4/22/2021,262.27
4/23/2021,266.03
4/26/2021,271.72
4/27/2021,268.82
4/28/2021,271.09
4/29/2021,267.85
4/30/2021,262.29
5/3/2021,259.09
5/4/2021,250.16
5/5/2021,247.4
5/6/2021,252.02
5/7/2021,253.36
5/10/2021,243.63
5/11/2021,248.6
5/12/2021,239.91
5/13/2021,240.8
5/14/2021,246.29
5/17/2021,244.36
5/18/2021,243.21
5/19/2021,244.63
5/20/2021,251.54
5/21/2021,250.69
5/24/2021,257.17
5/25/2021,258.65
5/26/2021,261.37
5/27/2021,259.47
5/28/2021,260.02
6/1/2021,259.27
6/2/2021,262.17
6/3/2021,257.79
6/4/2021,263.04
6/7/2021,260.6
6/8/2021,263.15
6/9/2021,263.6
6/10/2021,269.47
6/11/2021,271.45
6/14/2021,274.93
6/15/2021,271.89
6/16/2021,268.82
6/17/2021,278.11
6/18/2021,283.38
6/21/2021,283.1
6/22/2021,286.75
6/23/2021,288.12
6/24/2021,293.21
6/25/2021,289.6
6/28/2021,293.65
6/29/2021,292.76
6/30/2021,291.48
7/1/2021,289
7/2/2021,290.24
7/6/2021,292.64
7/7/2021,297.13
7/8/2021,295.05
7/9/2021,300.21
7/12/2021,302.97
7/13/2021,301.19
7/14/2021,300.75
7/15/2021,296.51
7/16/2021,294.63
7/19/2021,294.85
7/20/2021,298.07
7/21/2021,301.77
7/22/2021,303.69
7/23/2021,308.53
7/26/2021,306.8
7/27/2021,300.48
7/28/2021,301.98
7/29/2021,283.17
7/30/2021,275.53
8/2/2021,270.99
8/3/2021,273.5
8/4/2021,275.5
8/5/2021,280.67
8/6/2021,279.54
8/9/2021,278.15
8/10/2021,274.37
8/11/2021,276.41
8/12/2021,274.59
8/13/2021,274.91
8/16/2021,278.28
8/17/2021,271.1
8/18/2021,268.84
8/19/2021,270.58
8/20/2021,272.96
8/23/2021,276.98
8/24/2021,279.51
8/25/2021,277.69
8/26/2021,273.62
8/27/2021,278.33
8/30/2021,288.47
8/31/2021,288.66
9/1/2021,286.75
9/2/2021,285.53
9/3/2021,289.13
9/7/2021,293.26
9/8/2021,285.23
9/9/2021,286.88
9/10/2021,284.32
9/13/2021,280.49
9/14/2021,282.24
9/15/2021,282.43
9/16/2021,282.97
9/17/2021,276.34
9/20/2021,269.91
9/21/2021,269.49
9/22/2021,272.34
9/23/2021,279.1
9/24/2021,278.11
9/27/2021,273.39
9/28/2021,262.19
9/29/2021,259
9/30/2021,260.21
10/1/2021,264.65
10/4/2021,255.01
10/5/2021,260.15
10/6/2021,264.06
10/7/2021,263.54
10/8/2021,260.06
10/11/2021,255.05
10/12/2021,255.85
10/13/2021,256.36
10/14/2021,266.45
10/15/2021,268.35
10/18/2021,270.33
10/19/2021,271.7
10/20/2021,258.36
10/21/2021,243.21
10/22/2021,240.4
10/25/2021,246.88
10/26/2021,243
10/27/2021,234.94
10/28/2021,236.83
10/29/2021,232.59
11/1/2021,231.28
11/2/2021,229.46
11/3/2021,230.38
11/4/2021,228.22
11/5/2021,225.78
11/8/2021,229.42
11/9/2021,205.42
11/10/2021,204.64
11/11/2021,202.03
11/12/2021,208.3
11/15/2021,212.54
11/16/2021,215.67
11/17/2021,206.27
11/18/2021,200.5
11/19/2021,193.61
11/22/2021,189.48
11/23/2021,188.05
11/24/2021,188.71
11/26/2021,187.79
11/29/2021,187.24
11/30/2021,184.89
12/1/2021,179.32
12/2/2021,187.15
12/3/2021,183.93
12/6/2021,184.86
12/7/2021,191.02
12/8/2021,197.35
12/9/2021,191.75
12/10/2021,188.51
12/13/2021,186.38
12/14/2021,186.8
12/15/2021,190.66
12/16/2021,188.75
12/17/2021,186.2
12/20/2021,182.68
12/21/2021,189.14
12/22/2021,191.68
12/23/2021,192.01
12/27/2021,192.01
12/28/2021,190.1
12/29/2021,189.97
12/30/2021,191.88